# Wavelength Flux
4.775544e+03 9.627135e-01
4.775558e+03 9.627219e-01
4.775573e+03 9.319811e-01
4.775587e+03 8.755524e-01
4.775615e+03 8.828707e-01
4.775629e+03 8.899630e-01
4.775643e+03 1.072418e+00
4.775658e+03 1.130282e+00
4.775672e+03 1.555712e+00
4.775686e+03 8.757297e-01
4.775701e+03 1.378525e+00
4.775715e+03 1.299286e+00
4.775729e+03 1.187269e+00
4.775743e+03 8.625596e-01
4.775757e+03 8.883440e-01
4.775771e+03 1.029864e+00
4.775786e+03 1.181085e+00
4.775800e+03 1.241994e+00
4.775814e+03 1.030456e+00
4.775829e+03 1.159623e+00
4.775843e+03 1.423066e+00
4.775857e+03 1.285500e+00
4.775871e+03 1.187427e+00
4.775885e+03 9.303784e-01
4.775899e+03 1.041933e+00
4.775914e+03 1.137062e+00
4.775928e+03 9.746724e-01
4.775942e+03 1.013424e+00
4.775957e+03 1.295762e+00
4.775971e+03 1.232621e+00
4.775985e+03 1.158390e+00
4.775999e+03 1.055481e+00
4.776013e+03 1.044569e+00
4.776027e+03 1.101077e+00
4.776042e+03 1.184667e+00
4.776056e+03 1.179372e+00
4.776070e+03 8.476322e-01
4.776084e+03 9.672185e-01
4.776099e+03 1.051678e+00
4.776113e+03 9.922038e-01
4.776127e+03 9.677216e-01
4.776141e+03 1.164887e+00
4.776155e+03 1.123103e+00
4.776170e+03 1.031813e+00
4.776184e+03 1.068671e+00
4.776198e+03 1.034097e+00
4.776212e+03 8.354474e-01
4.776226e+03 1.122242e+00
4.776241e+03 1.434990e+00
4.776255e+03 1.011785e+00
4.776269e+03 9.348512e-01
4.776283e+03 1.337839e+00
4.776298e+03 1.164179e+00
4.776312e+03 9.938782e-01
4.776326e+03 9.838365e-01
4.776340e+03 9.669180e-01
4.776354e+03 9.379086e-01
4.776368e+03 1.044984e+00
4.776383e+03 1.113438e+00
4.776397e+03 1.056100e+00
4.776411e+03 1.007654e+00
4.776426e+03 1.057938e+00
4.776440e+03 1.062065e+00
4.776454e+03 1.127414e+00
4.776468e+03 1.057086e+00
4.776482e+03 1.073612e+00
4.776496e+03 1.105936e+00
4.776511e+03 1.043717e+00
4.776525e+03 1.016188e+00
4.776539e+03 1.088639e+00
4.776554e+03 9.521291e-01
4.776568e+03 8.170999e-01
4.776582e+03 9.172117e-01
4.776596e+03 9.883307e-01
4.776610e+03 1.129823e+00
4.776624e+03 1.088570e+00
4.776639e+03 1.090114e+00
4.776653e+03 1.133721e+00
4.776667e+03 1.138385e+00
4.776682e+03 1.141083e+00
4.776696e+03 8.822787e-01
4.776710e+03 8.812282e-01
4.776724e+03 9.821255e-01
4.776738e+03 1.019322e+00
4.776752e+03 1.009725e+00
4.776767e+03 1.026390e+00
4.776781e+03 9.309559e-01
4.776795e+03 8.640071e-01
4.776809e+03 8.957539e-01
4.776823e+03 9.325330e-01
4.776838e+03 8.521674e-01
4.776852e+03 8.776152e-01
4.776866e+03 9.565662e-01
4.776880e+03 8.489348e-01
4.776895e+03 8.930178e-01
4.776909e+03 1.113315e+00
4.776923e+03 1.153965e+00
4.776937e+03 1.126848e+00
4.776951e+03 9.778578e-01
4.776965e+03 1.009230e+00
4.776980e+03 1.122574e+00
4.776994e+03 1.015041e+00
4.777008e+03 8.417538e-01
4.777023e+03 1.048025e+00
4.777037e+03 1.128910e+00
4.777051e+03 1.061760e+00
4.777065e+03 1.036966e+00
4.777079e+03 8.904542e-01
4.777093e+03 1.034988e+00
4.777108e+03 1.025005e+00
4.777122e+03 8.738716e-01
4.777136e+03 9.252559e-01
4.777151e+03 9.748188e-01
