# Wavelength Flux
4.617704e+03 5.971030e-01
4.617717e+03 5.971012e-01
4.617732e+03 6.365405e-01
4.617745e+03 7.592540e-01
4.617759e+03 8.202087e-01
4.617773e+03 8.656724e-01
4.617787e+03 9.436053e-01
4.617801e+03 6.562316e-01
4.617815e+03 2.459771e-01
4.617829e+03 9.109525e-01
4.617843e+03 1.191583e+00
4.617856e+03 8.098743e-01
4.617871e+03 8.415675e-01
4.617884e+03 9.446810e-01
4.617898e+03 9.545945e-01
4.617912e+03 9.576967e-01
4.617926e+03 9.653287e-01
4.617940e+03 7.985396e-01
4.617954e+03 5.732168e-01
4.617968e+03 4.588965e-01
4.617981e+03 4.584345e-01
4.617995e+03 9.010861e-01
4.618009e+03 7.612522e-01
4.618023e+03 4.398551e-01
4.618037e+03 5.901773e-01
4.618051e+03 6.360402e-01
4.618065e+03 3.957961e-01
4.618078e+03 5.873517e-01
4.618093e+03 9.392661e-01
4.618106e+03 8.212803e-01
4.618120e+03 7.996688e-01
4.618134e+03 1.059470e+00
4.618148e+03 9.043791e-01
4.618162e+03 5.821931e-01
4.618176e+03 7.073965e-01
4.618190e+03 8.002682e-01
4.618204e+03 8.996931e-01
4.618218e+03 9.260019e-01
4.618232e+03 9.253423e-01
4.618245e+03 9.279083e-01
4.618259e+03 9.272145e-01
4.618273e+03 9.052857e-01
4.618287e+03 9.205639e-01
4.618301e+03 9.451138e-01
4.618315e+03 1.032311e+00
4.618329e+03 1.056181e+00
4.618342e+03 7.848238e-01
4.618357e+03 8.673060e-01
4.618370e+03 1.120997e+00
4.618384e+03 8.627206e-01
4.618398e+03 7.310567e-01
4.618412e+03 1.055286e+00
4.618426e+03 1.050546e+00
4.618440e+03 9.404882e-01
4.618454e+03 8.294954e-01
4.618467e+03 7.826601e-01
4.618481e+03 1.036669e+00
4.618495e+03 1.051552e+00
4.618509e+03 9.784111e-01
4.618523e+03 9.866992e-01
4.618537e+03 9.973676e-01
4.618551e+03 1.021778e+00
4.618565e+03 1.084205e+00
4.618579e+03 1.205724e+00
4.618593e+03 9.292965e-01
4.618606e+03 7.331184e-01
4.618621e+03 8.019704e-01
4.618634e+03 8.120895e-01
4.618648e+03 8.355682e-01
4.618662e+03 6.941691e-01
4.618676e+03 6.095775e-01
4.618690e+03 7.753117e-01
4.618703e+03 7.232551e-01
4.618718e+03 5.468931e-01
4.618731e+03 8.213112e-01
4.618745e+03 1.041776e+00
4.618759e+03 1.150195e+00
4.618773e+03 1.150637e+00
4.618787e+03 1.094391e+00
4.618801e+03 1.026894e+00
4.618815e+03 9.185188e-01
4.618828e+03 5.451808e-01
4.618843e+03 5.837666e-01
4.618856e+03 8.162510e-01
4.618870e+03 7.325889e-01
4.618884e+03 6.894369e-01
4.618898e+03 7.669640e-01
4.618912e+03 7.825006e-01
4.618926e+03 7.917119e-01
4.618940e+03 6.905051e-01
4.618954e+03 6.170136e-01
4.618967e+03 5.907502e-01
4.618982e+03 7.175018e-01
4.618995e+03 9.330937e-01
4.619009e+03 9.549780e-01
4.619023e+03 9.935512e-01
4.619037e+03 1.085862e+00
4.619051e+03 1.050934e+00
4.619065e+03 9.718598e-01
4.619079e+03 8.374986e-01
4.619092e+03 7.456193e-01
4.619107e+03 7.686232e-01
4.619120e+03 8.694192e-01
4.619134e+03 1.036841e+00
4.619148e+03 8.942827e-01
4.619162e+03 8.204853e-01
4.619176e+03 9.306633e-01
4.619190e+03 9.264339e-01
4.619204e+03 9.099338e-01
4.619217e+03 6.815652e-01
4.619231e+03 5.469918e-01
4.619245e+03 6.659076e-01
4.619259e+03 6.943007e-01
4.619273e+03 6.998031e-01
4.619287e+03 8.381705e-01
4.619301e+03 9.780233e-01
4.619315e+03 1.209858e+00
4.619329e+03 1.172263e+00
4.619343e+03 1.047269e+00
4.619356e+03 1.056183e+00
4.619370e+03 1.019886e+00
4.619384e+03 8.778098e-01
4.619398e+03 7.980959e-01
4.619412e+03 7.281844e-01
4.619426e+03 6.607950e-01
4.619440e+03 6.611498e-01
4.619453e+03 8.112776e-01
4.619468e+03 1.030217e+00
4.619481e+03 1.307665e+00
4.619495e+03 9.016855e-01
4.619509e+03 7.492033e-01
4.619523e+03 1.058130e+00
4.619537e+03 1.019766e+00
4.619551e+03 9.196147e-01
4.619565e+03 9.530541e-01
4.619578e+03 1.008710e+00
4.619593e+03 1.225426e+00
4.619606e+03 9.608874e-01
4.619620e+03 5.922526e-01
4.619634e+03 8.583214e-01
4.619648e+03 8.807980e-01
4.619662e+03 4.505821e-01
4.619676e+03 8.688716e-01
4.619690e+03 1.425299e+00
4.619704e+03 8.950817e-01
4.619717e+03 6.406699e-01
4.619732e+03 5.405444e-01
4.619745e+03 7.587473e-01
4.619759e+03 1.025744e+00
4.619773e+03 1.133962e+00
4.619787e+03 1.078679e+00
4.619801e+03 6.978183e-01
4.619815e+03 7.536545e-01
4.619829e+03 8.486015e-01
4.619842e+03 8.790826e-01
4.619856e+03 9.578546e-01
4.619870e+03 1.145025e+00
4.619884e+03 9.858109e-01
4.619898e+03 8.071747e-01
4.619912e+03 7.460852e-01
4.619926e+03 8.272127e-01
4.619940e+03 1.173055e+00
4.619954e+03 8.785613e-01
4.619967e+03 5.654840e-01
4.619981e+03 3.541614e-01
4.619995e+03 4.892352e-01
4.620009e+03 1.021463e+00
4.620023e+03 1.007531e+00
4.620037e+03 9.781708e-01
4.620051e+03 9.899964e-01
4.620065e+03 9.899710e-01
4.620078e+03 9.903625e-01
4.620093e+03 9.903699e-01
4.620106e+03 9.890859e-01
4.620120e+03 9.912699e-01
4.620134e+03 9.939884e-01
4.620148e+03 9.949320e-01
4.620162e+03 9.902068e-01
4.620176e+03 9.913377e-01
4.620190e+03 9.914219e-01
4.620203e+03 9.916661e-01
4.620218e+03 1.007040e+00
4.620231e+03 1.000305e+00
4.620245e+03 9.921455e-01
4.620259e+03 9.921593e-01
4.620273e+03 9.829741e-01
4.620287e+03 9.837036e-01
4.620301e+03 9.913926e-01
4.620315e+03 9.901506e-01
