# Wavelength Flux
4.701330e+03 9.437273e-01
4.701344e+03 9.437273e-01
4.701358e+03 9.931558e-01
4.701372e+03 1.067786e+00
4.701386e+03 9.188440e-01
4.701400e+03 9.400246e-01
4.701414e+03 1.032713e+00
4.701428e+03 1.050703e+00
4.701442e+03 1.037190e+00
4.701456e+03 9.343233e-01
4.701470e+03 9.354402e-01
4.701484e+03 9.495868e-01
4.701498e+03 9.992208e-01
4.701512e+03 1.005917e+00
4.701526e+03 9.842841e-01
4.701540e+03 9.989589e-01
4.701554e+03 1.020021e+00
4.701569e+03 1.082037e+00
4.701582e+03 1.034719e+00
4.701596e+03 9.703285e-01
4.701610e+03 1.078147e+00
4.701625e+03 1.087074e+00
4.701639e+03 1.020111e+00
4.701652e+03 1.022176e+00
4.701667e+03 1.017853e+00
4.701681e+03 9.819170e-01
4.701695e+03 9.922885e-01
4.701709e+03 1.014411e+00
4.701723e+03 1.037565e+00
4.701737e+03 1.032539e+00
4.701751e+03 9.917411e-01
4.701765e+03 9.700893e-01
4.701779e+03 9.594532e-01
4.701793e+03 1.019378e+00
4.701807e+03 1.001207e+00
4.701821e+03 9.546158e-01
4.701835e+03 9.962682e-01
4.701849e+03 1.012861e+00
4.701863e+03 9.909573e-01
4.701877e+03 1.059282e+00
4.701892e+03 1.115017e+00
4.701905e+03 1.015457e+00
4.701919e+03 1.018179e+00
4.701934e+03 1.063035e+00
4.701948e+03 1.022187e+00
4.701961e+03 9.916544e-01
4.701976e+03 9.552112e-01
4.701990e+03 1.000320e+00
4.702004e+03 1.049018e+00
4.702018e+03 1.040817e+00
4.702032e+03 1.019143e+00
4.702046e+03 9.802897e-01
4.702060e+03 9.810845e-01
4.702074e+03 9.911312e-01
4.702088e+03 1.034663e+00
4.702102e+03 1.038295e+00
4.702116e+03 1.034437e+00
4.702130e+03 9.785236e-01
4.702144e+03 9.790474e-01
4.702158e+03 1.019269e+00
4.702172e+03 9.996779e-01
4.702186e+03 1.006071e+00
4.702201e+03 1.110220e+00
4.702214e+03 1.042614e+00
4.702228e+03 9.474296e-01
4.702243e+03 9.385755e-01
4.702257e+03 9.610507e-01
4.702271e+03 1.033128e+00
4.702285e+03 9.785191e-01
